Player,Season,Age,Team,League,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TOV
Nacho Arroyo,2023-24,23,Forca Lleida CE,Primera FEB,39,20.2,7.1,2.4,5.6,43.3,0.9,2.7,34.6,1.4,1.7,81.8,2.3,3.1,0.8,0.2,1.3
Nacho Arroyo,2024-25,24,Monbus Obradoiro,Primera FEB,37,17.2,6.8,1.9,4.7,39.9,0.9,2.8,34.0,0.8,0.9,85.7,1.4,2.1,0.7,0.1,0.9
Nacho Arroyo,2025-26,25,Gipuzkoa Basket,Primera FEB,33,23.3,7.0,2.3,6.5,35.5,1.4,4.4,31.9,1.0,1.2,78.0,2.2,3.5,0.8,0.1,1.6
"Steinarsson, Ægir",2015-16,24,KR Reykjavik,Dominos,19,30.2,11.4,4.3,9.8,44.1,1.1,3.9,28.4,1.6,2.5,66.0,5.5,6.8,2.1,0.1,3.0
"Steinarsson, Ægir",2015-16,24,KR Reykjavik,Dominos,19,30.2,11.6,4.3,9.8,44.1,1.1,3.9,28.4,1.6,2.5,66.0,5.5,6.8,2.1,0.1,3.0
"Steinarsson, Ægir",2016-17,25,Siblo San Pablo Burgos,Primera FEB,43,21.1,5.2,2.0,5.1,40.4,0.5,2.0,24.1,0.7,1.1,59.6,2.6,3.9,0.9,0.0,1.3
"Steinarsson, Ægir",2017-18,26,Amics Castello,Primera FEB,38,23.7,8.2,3.0,7.3,41.4,0.8,2.6,32.3,1.3,1.8,71.4,2.4,3.3,0.9,0.0,1.8
"Steinarsson, Ægir",2018-19,27,Regatas Corrientes,Liga A,10,21.7,5.2,1.9,3.9,48.7,1.1,2.3,47.8,0.3,0.4,75.0,1.9,3.2,0.8,0.0,1.1
"Steinarsson, Ægir",2021-22,30,Gipuzkoa Basket,Primera FEB,31,22.5,10.4,3.7,8.0,45.8,1.0,2.7,36.5,2.0,2.5,80.5,2.2,3.4,1.2,0.0,2.1
"Steinarsson, Ægir",2022-23,31,HLA Alicante,Primera FEB,37,21.4,7.2,2.3,6.4,36.3,0.7,2.5,28.6,1.8,2.2,85.0,2.5,3.2,1.1,0.0,1.4
